comparison,left_run_id,right_run_id,metric,pair_key,n_pairs,left_mean,right_mean,mean_diff_right_minus_left,t_stat,p_value,decision_alpha_0_05,null_hypothesis,reference_url
Base->QLoRA @k0,baseline_k0,qlora_k0,em,example_id,200,0.0,0.03,0.03,2.480854525210564,0.013936174825177885,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k0,baseline_k0,qlora_k0,ex,example_id,200,0.485,0.455,-0.02999999999999997,-1.1778355866795012,0.240268799204535,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k0,baseline_k0,qlora_k0,ts,example_id,0,,,,,,insufficient_n,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k0,baseline_k0,qlora_k0,va,example_id,200,0.875,0.865,-0.010000000000000009,-0.5335657576528201,0.5942374528406746,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k3,baseline_k3,qlora_k3,em,example_id,200,0.355,0.35,-0.0050000000000000044,-0.22887159247849673,0.8192037554708628,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k3,baseline_k3,qlora_k3,ex,example_id,200,0.61,0.55,-0.05999999999999994,-2.14022490870622,0.03355378588569563,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k3,baseline_k3,qlora_k3,ts,example_id,0,,,,,,insufficient_n,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Base->QLoRA @k3,baseline_k3,qlora_k3,va,example_id,200,0.895,0.87,-0.025000000000000022,-1.389977998009845,0.16608842640740498,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Baseline k0->k3,baseline_k0,baseline_k3,em,example_id,200,0.0,0.355,0.355,10.465521094668233,1.0573133097743991e-20,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Baseline k0->k3,baseline_k0,baseline_k3,ex,example_id,200,0.485,0.61,0.125,4.052054036435277,7.276521271471253e-05,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Baseline k0->k3,baseline_k0,baseline_k3,ts,example_id,0,,,,,,insufficient_n,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
Baseline k0->k3,baseline_k0,baseline_k3,va,example_id,200,0.875,0.895,0.020000000000000018,0.9425459443140463,0.3470560412760889,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
QLoRA k0->k3,qlora_k0,qlora_k3,em,example_id,200,0.03,0.35,0.31999999999999995,9.4621621831915,8.869513567376164e-18,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
QLoRA k0->k3,qlora_k0,qlora_k3,ex,example_id,200,0.455,0.55,0.09500000000000003,3.7757911133237574,0.0002105268167448779,reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
QLoRA k0->k3,qlora_k0,qlora_k3,ts,example_id,0,,,,,,insufficient_n,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
QLoRA k0->k3,qlora_k0,qlora_k3,va,example_id,200,0.865,0.87,0.0050000000000000044,0.3008249987193207,0.7638620098329065,fail_to_reject_H0,mean_difference_equals_zero,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
