run_id,label,status,resolved_path,path_candidates,method_family,model_variant,prompting,k,run_type,n_items
baseline_k0,Base | k=0,loaded,results/baseline/baseline_k0.json,results/baseline/baseline_k0.json | results/baseline/results_zero_shot_200.json | results/results_zero_shot_200.json,baseline,base,k=0,0.0,direct,200
baseline_k3,Base | k=3,loaded,results/baseline/baseline_k3.json,results/baseline/baseline_k3.json | results/baseline/results_few_shot_k3_200.json | results/results_few_shot_k3_200.json,baseline,base,k=3,3.0,direct,200
qlora_k0,QLoRA | k=0,loaded,results/qlora/llama3_8b_instruct_qlora_k0.json,results/qlora/llama3_8b_instruct_qlora_k0.json | results/qlora/qlora_k0.json | results/qlora/results_zero_shot_200.json,qlora,qlora,k=0,0.0,direct,200
qlora_k3,QLoRA | k=3,loaded,results/qlora/llama3_8b_instruct_qlora_k3.json,results/qlora/llama3_8b_instruct_qlora_k3.json | results/qlora/qlora_k3.json | results/qlora/results_few_shot_k3_200.json,qlora,qlora,k=3,3.0,direct,200
react_exec,ReAct infra,loaded,results/agent/react_infra_n20_v9.json,results/agent/react_infra_n20_v9.json | results/agent/results_react_200.json,agent_infra,unspecified,n/a,,agent,20
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,loaded,results/baseline/model_family/llama3_8b_instruct_k0.json,results/baseline/model_family/llama3_8b_instruct_k0.json,model_family,llama3_8b_instruct,k=0,0.0,direct,200
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,loaded,results/baseline/model_family/llama3_8b_instruct_k3.json,results/baseline/model_family/llama3_8b_instruct_k3.json,model_family,llama3_8b_instruct,k=3,3.0,direct,200
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,loaded,results/baseline/model_family/qwen2_5_7b_instruct_k0.json,results/baseline/model_family/qwen2_5_7b_instruct_k0.json,model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,loaded,results/baseline/model_family/qwen2_5_7b_instruct_k3.json,results/baseline/model_family/qwen2_5_7b_instruct_k3.json,model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,loaded,results/baseline/model_family/qwen2_5_7b_instruct_k5.json,results/baseline/model_family/qwen2_5_7b_instruct_k5.json,model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,loaded,results/qlora/model_family/qwen2_5_7b_instruct_qlora_k0.json,results/qlora/model_family/qwen2_5_7b_instruct_qlora_k0.json,qlora_model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,loaded,results/qlora/model_family/qwen2_5_7b_instruct_qlora_k3.json,results/qlora/model_family/qwen2_5_7b_instruct_qlora_k3.json,qlora_model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200
