condition_id,model_tag,method,k,seed,n_items,ts_enabled,source_json
llama_base_k0,llama,base,0,7,200,False,llama_base_k0_seed7.json
llama_base_k3,llama,base,3,7,200,True,llama_base_k3_seed7.json
llama_base_k3,llama,base,3,17,200,True,llama_base_k3_seed17.json
llama_base_k3,llama,base,3,27,200,True,llama_base_k3_seed27.json
llama_base_k3,llama,base,3,37,200,True,llama_base_k3_seed37.json
llama_base_k3,llama,base,3,47,200,True,llama_base_k3_seed47.json
llama_qlora_k0,llama,qlora,0,7,200,False,llama_qlora_k0_seed7.json
llama_qlora_k3,llama,qlora,3,7,200,True,llama_qlora_k3_seed7.json
llama_qlora_k3,llama,qlora,3,17,200,True,llama_qlora_k3_seed17.json
llama_qlora_k3,llama,qlora,3,27,200,True,llama_qlora_k3_seed27.json
qwen_base_k0,qwen,base,0,7,200,False,qwen_base_k0_seed7.json
qwen_base_k3,qwen,base,3,7,200,True,qwen_base_k3_seed7.json
qwen_base_k3,qwen,base,3,17,200,True,qwen_base_k3_seed17.json
qwen_base_k3,qwen,base,3,27,200,True,qwen_base_k3_seed27.json
qwen_base_k3,qwen,base,3,37,200,True,qwen_base_k3_seed37.json
qwen_base_k3,qwen,base,3,47,200,True,qwen_base_k3_seed47.json
qwen_qlora_k0,qwen,qlora,0,7,200,False,qwen_qlora_k0_seed7.json
qwen_qlora_k3,qwen,qlora,3,7,200,True,qwen_qlora_k3_seed7.json
qwen_qlora_k3,qwen,qlora,3,17,200,True,qwen_qlora_k3_seed17.json
qwen_qlora_k3,qwen,qlora,3,27,200,True,qwen_qlora_k3_seed27.json
