condition_id,model_tag,method,k,n_runs,va_mean,va_std,ex_mean,ex_std,ts_mean,ts_std
llama_base_k0,llama,base,0,1,0.775,,0.415,,,
llama_base_k3,llama,base,3,10,0.8699999999999999,0.014907119849998611,0.5559999999999998,0.015238839267549908,0.6276118187865989,0.015031001668292477
llama_qlora_k0,llama,qlora,0,1,0.815,,0.435,,,
llama_qlora_k3,llama,qlora,3,10,0.8619999999999999,0.028303906287138397,0.4720000000000001,0.016020819787597212,0.5369552800424781,0.022468728039724304
llama_react_k3,llama,react,3,5,0.9949999999999999,0.0050000000000000044,0.664,0.012942179105544797,0.6512491751687731,0.010589941535138264
qwen_base_k0,qwen,base,0,1,0.865,,0.51,,,
qwen_base_k3,qwen,base,3,10,0.9125,0.021762608095334333,0.666,0.019972202905260302,0.727254232176759,0.016824394897669587
qwen_qlora_k0,qwen,qlora,0,1,0.805,,0.435,,,
qwen_qlora_k3,qwen,qlora,3,10,0.9024999999999999,0.013794121131039052,0.5345,0.012572014777097417,0.5896491743658353,0.01833453202137167
qwen_react_k3,qwen,react,3,5,0.993,0.004472135954999583,0.7220000000000001,0.028416544476765622,0.7180623931841952,0.02729337302385169
